[00:06:32:697]	[SEND] Port : 1, Title : RequestActionLoading [Key : SubstrateName, Value : ZFWL391.7] [Key : LotId, Value : ] [Key : RecipeId, Value : ] [Key : SubstrateType, Value : Core]
[00:06:32:809]	[RECV] Port : 1, Title : ResponseActionLoading [Key : , Value : ]
[00:06:32:809]	[SEND] Response Message > Port : 1, Ack : Ack, 
[00:06:37:418]	[SEND] Port : 4, Title : RequestApproachUnloading
[00:06:37:528]	[RECV] Port : 4, Title : ResponseApproachUnloading [Key : SubstrateName, Value : MAO63842.3] [Key : LotId, Value : ] [Key : SubstrateType, Value : Bin3] [Key : RecipeId, Value : ]
[00:06:37:528]	[SEND] Response Message > Port : 4, Ack : Ack, 
[00:06:40:727]	[SEND] Port : 4, Title : RequestActionUnloading [Key : SubstrateName, Value : MAO63842.3] [Key : LotId, Value : ] [Key : RecipeId, Value : ] [Key : SubstrateType, Value : Empty]
[00:06:40:831]	[RECV] Port : 4, Title : ResponseActionUnloading [Key : , Value : ]
[00:06:40:831]	[SEND] Response Message > Port : 4, Ack : Ack, 
[00:06:43:989]	[SEND] Port : 4, Title : RequestConfirmUnloading
[00:06:44:103]	[RECV] Port : 4, Title : ResponseConfirmUnloading [Key : , Value : ]
[00:06:44:103]	[SEND] Response Message > Port : 4, Ack : Ack, 
[00:06:58:978]	[SEND] Port : 2, Title : RequestApproachLoading [Key : SubstrateName, Value : MAO63842.6] [Key : LotId, Value : ] [Key : RecipeId, Value : ] [Key : SubstrateType, Value : Empty]
[00:06:59:082]	[RECV] Port : 2, Title : ResponseApproachLoading [Key : , Value : ]
[00:06:59:082]	[SEND] Response Message > Port : 2, Ack : Ack, 
[00:07:02:074]	[SEND] Port : 2, Title : RequestActionLoading [Key : SubstrateName, Value : MAO63842.6] [Key : LotId, Value : ] [Key : RecipeId, Value : ] [Key : SubstrateType, Value : Empty]
[00:07:02:174]	[RECV] Port : 2, Title : ResponseActionLoading [Key : , Value : ]
[00:07:02:174]	[SEND] Response Message > Port : 2, Ack : Ack, 
[00:07:06:800]	[SEND] Port : 3, Title : RequestApproachUnloading
